category|sku|extraction_time
half-price|340411|2023-07-08 11:01:31
half-price|27570|2023-07-08 11:01:31
half-price|57053|2023-07-08 11:01:31
half-price|257360|2023-07-08 11:01:31
half-price|253808|2023-07-08 11:01:31
half-price|253770|2023-07-08 11:01:31
half-price|57070|2023-07-08 11:01:31
half-price|172638|2023-07-08 11:01:31
half-price|211299|2023-07-08 11:01:31
half-price|30856|2023-07-08 11:01:31
half-price|27574|2023-07-08 11:01:31
half-price|245573|2023-07-08 11:01:31
half-price|92589|2023-07-08 11:01:31
half-price|310694|2023-07-08 11:01:31
half-price|30825|2023-07-08 11:01:31
half-price|320104|2023-07-08 11:01:31
half-price|47011|2023-07-08 11:01:31
half-price|77750|2023-07-08 11:01:31
half-price|253760|2023-07-08 11:01:31
half-price|663986|2023-07-08 11:01:31
half-price|855572|2023-07-08 11:01:31
half-price|252264|2023-07-08 11:01:31
half-price|135984|2023-07-08 11:01:31
half-price|203073|2023-07-08 11:01:31
half-price|163996|2023-07-08 11:01:31
half-price|855571|2023-07-08 11:01:31
half-price|429224|2023-07-08 11:01:31
half-price|105018|2023-07-08 11:01:31
half-price|186164|2023-07-08 11:01:31
half-price|253762|2023-07-08 11:01:31
half-price|46795|2023-07-08 11:01:31
half-price|618616|2023-07-08 11:01:31
half-price|45795|2023-07-08 11:01:31
half-price|330959|2023-07-08 11:01:31
half-price|253766|2023-07-08 11:01:31
half-price|320103|2023-07-08 11:01:31
half-price|144283|2023-07-08 11:01:31
half-price|45777|2023-07-08 11:01:31
half-price|204677|2023-07-08 11:01:31
half-price|98390|2023-07-08 11:01:31
half-price|144709|2023-07-08 11:01:31
half-price|855581|2023-07-08 11:01:31
half-price|245581|2023-07-08 11:01:31
half-price|370259|2023-07-08 11:01:31
half-price|247332|2023-07-08 11:01:31
half-price|641523|2023-07-08 11:01:31
half-price|200150|2023-07-08 11:01:31
half-price|253828|2023-07-08 11:01:31
half-price|330993|2023-07-08 11:01:31
half-price|321815|2023-07-08 11:01:31
half-price|58657|2023-07-08 11:01:31
half-price|253811|2023-07-08 11:01:31
half-price|65270|2023-07-08 11:01:31
half-price|44861|2023-07-08 11:01:31
