sku,product_name
774126,Mission Pita Bread Pockets Wholemeal
218924,Woolworths Italian Tomatoes With Onion Garlic & Basil
252148,Lea & Perrins Worcestershire Sauce
290303,Mutti Tomato Paste Double Concentrate
135156,Capsicum Green
106542,Chilli Green
136510,Chilli Red
157649,Eat Later Cavendish Bananas
761414,Envy Apple
134034,Fresh Tomato
259345,Grapefruit Red Flesh
120080,Hass Avocado
144329,Onion Brown
147071,Sweet Potato Gold
135369,Woolworths Australian Grown Carrots
447762,Woolworths Baby Mixed Leaf Salad Salad Mix
745467,Woolworths Celery Sticks
149620,Woolworths Cherry Tomatoes Punnet
137102,Woolworths Continental Cucumbers
137091,Woolworths Fresh Herb Coriander
133621,Woolworths Green Basil
134932,Woolworths Green Cabbage
267084,Woolworths Sungold Kiwifruit Gold
81621,Woolworths Cook Chicken Breast Steaks Lemon & Pepper
577860,Woolworths Heart Smart Extra Lean Beef Mince
582608,Woolworths Lean Pork Mince
774123,Mission Pita Bread Pockets Plain
96888,Farmers Union Natural Greek Style Yogurt
807385,Woolworths Lite Milk Lite Milk
297767,Yoplait Forme Zero Strawberry Yoghurt
155003,Apple Royal Gala
245902,Lime Fresh
259450,Orange Navel
111670,Potato Red Washed
187314,Woolworths Broccolini Bunch
167661,Woolworths Essentials Microfibre Cloth
340853,Woolworths Chicken Breast Fillet Skinless Small
54241,Woolworths Cook Beef Pepper Steaks
81633,Woolworths Cook Chicken Breast Steaks Chilli Garlic & Rosemary
95872,Helga's Grain Bread Mixed Grain
196294,Woolworths Australian Quick Oats
476705,Woolworths Tuna Mexican Style
492077,Woolworths Water Chestnuts Sliced
691961,Fehlbergs Sandwich Stackers
720423,Woolworths Lemon Juice
250994,Woolworths Chilli Flakes
251007,Woolworths Cumin Ground Ground
750772,Woolworths Vegetable Oil
226463,Bega So Light 50% Reduced Fat Cheese Slices
297764,Yoplait Forme Zero French Vanilla Yoghurt
137625,Woolworths Dark Frozen Fruit Blend
137825,Woolworths Summer Frozen Fruit Blend
105919,Fresh Pink Lady Apples
141410,Mandarin Imperial
144497,Onion Red
208895,Potato White Washed
135306,Red Capsicum
169438,Truss Tomatoes
253320,Woolworths Garlic Heads Clove
141995,Undo This Mess Deep Clean Laundry Liquid
49119,Erawan Tapioca Starch
15819,Sanitarium Natural Crunchy Peanut Butter
777630,Woolworths Brown Rice Grain
524432,Woolworths Black Sliced Olives
75238,Helga's Bread Light Rye
89121,Tip Top English Muffins Wholemeal
154991,Pak Choy Baby Asian Greens
253888,Macro Free Range Chicken Breast Steaks Sweet Chipotle
683101,Ayam Dark Soy
768559,Woolworths Broccoli Florets
768583,Woolworths Brussels Sprouts
99484,Squid Brand Fish Sauce
85969,Woolworths Stonebaked Turkish Rolls
7707,Greenseas Tuna Smoke Flavour Natural Smoked Flavour
893974,Just 4 You 12 Extra Large Caged Eggs
139238,Kiwi Fruit Green
147603,Spring Onion Eschallot
595733,Evergreen Regular Tofu
116747,Sourdough Rolls Seeded
248792,Du'it Tough Hands Intensive Repair Cream
586517,Woolworths Frozen Mixed Berries
774553,Wooloworths Black Grapes
697368,Woolworths Cook Pork Steaks With Sweet & Smokey Bbq Glaze
43760,Glow Lab Coconut & Sandalwood Body Wash
135984,John West Tempters Tuna Mild Indian Curry
211299,John West Tempters Tuna Smoked
259399,Woolworths Chickpeas No Added Salt
215125,Vanish Gold Oxi Advance
702156,Woolworths Rainbow Coleslaw
405838,Grapes Red Seedless
171164,Strike Paper Towels Embossed 2 Ply
175902,Woolworths 12 Extra Large Cage Free Eggs
99709,Mazzetti Balsamic Vinegar Of Modena
827884,Clive Of India Hot Madras Curry Powder
94626,Hoyts Bay Leaves
257879,Red Island Extra Virgin Olive Oil Cold Pressed
557986,Ajax Multisurface Floor Cleaner Tropical Breeze
626894,Ayam Pure Sesame Oil
828060,Lee Kum Kee Chili Oil Chiu Chow
36286,Armada Freezer Bags Medium
345959,Cobram Estate Extra Virgin Olive Oil Garlic Infused
702119,Natural Himalayan Salt Grinder
334639,Woolworths Pepper Grinder Black Peppercorn
654495,Ajax Spray N Wipe Divine Blends Cleaner Trigger
789683,Essentials Domestic Wipes Roll
250145,Essentials Sponge Scourer Sponge
210820,Palmolive Ultra Antibacterial Lemon Fresh Dishwashing Liquid
143227,Radiant Mixed Colours Laundry Liquid Detergent
86,Pearl River Bridge Soy Sauce Superior Light
97088,Dettol Antibacterial Liquid Hand Wash Pump Refresh
152955,Thanks To Nature Repair And Protect Shampoo With Hemp Seed Oil
